,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_leaf_nodes,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
11,0.18050308227539064,0.007281952597325891,0.012652158737182617,0.0025371780691644604,gini,10,100,7,"{'criterion': 'gini', 'max_depth': 10, 'max_leaf_nodes': 100, 'min_samples_split': 7}",0.8033707865168539,0.8258426966292135,0.8651685393258427,0.8314606741573034,0.8531073446327684,0.8357900082523964,0.021594843400767328,42,0.9282700421940928,0.9310829817158931,0.9254571026722925,0.9071729957805907,0.9157303370786517,0.9215426918883043,0.00885289352221431
12,0.17488765716552734,0.010161797765425676,0.008159828186035157,0.006016493506683803,gini,15,40,3,"{'criterion': 'gini', 'max_depth': 15, 'max_leaf_nodes': 40, 'min_samples_split': 3}",0.8089887640449438,0.8314606741573034,0.848314606741573,0.8202247191011236,0.8418079096045198,0.8301593347298926,0.01423998829740411,69,0.9226441631504922,0.929676511954993,0.9113924050632911,0.9085794655414908,0.8974719101123596,0.9139528911645254,0.011223395100763617
13,0.15973472595214844,0.021151071268596063,0.01449275016784668,0.0051134040739023254,gini,15,40,5,"{'criterion': 'gini', 'max_depth': 15, 'max_leaf_nodes': 40, 'min_samples_split': 5}",0.797752808988764,0.8314606741573034,0.8764044943820225,0.8146067415730337,0.8418079096045198,0.8324065257411286,0.02661884407510746,62,0.9212376933895922,0.9268635724331927,0.9113924050632911,0.8973277074542897,0.9044943820224719,0.9122631520725675,0.010750759609897454
14,0.16675610542297364,0.016519718122202015,0.010999584197998047,0.0008952165825893076,gini,15,40,7,"{'criterion': 'gini', 'max_depth': 15, 'max_leaf_nodes': 40, 'min_samples_split': 7}",0.8033707865168539,0.8314606741573034,0.8707865168539326,0.8146067415730337,0.847457627118644,0.8335364692439533,0.023891323164892942,57,0.9142053445850914,0.919831223628692,0.9142053445850914,0.8945147679324894,0.9087078651685393,0.9102929091799806,0.008637775753801596
15,0.17068557739257811,0.01658740066154892,0.005201292037963867,0.0063702557699681275,gini,15,60,3,"{'criterion': 'gini', 'max_depth': 15, 'max_leaf_nodes': 60, 'min_samples_split': 3}",0.8146067415730337,0.8258426966292135,0.848314606741573,0.8258426966292135,0.8587570621468926,0.8346727607439852,0.016277215524769226,48,0.9282700421940928,0.9479606188466948,0.9324894514767933,0.919831223628692,0.9297752808988764,0.9316653234090297,0.009179999491313106
16,0.1749521255493164,0.023345964767470532,0.01120147705078125,0.000979744634297068,gini,15,60,5,"{'criterion': 'gini', 'max_depth': 15, 'max_leaf_nodes': 60, 'min_samples_split': 5}",0.7921348314606742,0.8146067415730337,0.8707865168539326,0.8146067415730337,0.864406779661017,0.8313083222243384,0.030810659541836163,66,0.9254571026722925,0.9535864978902954,0.929676511954993,0.9268635724331927,0.922752808988764,0.9316672987879077,0.011185034399309114
17,0.167397403717041,0.012377903185190671,0.012326908111572266,0.0018238373938148293,gini,15,60,7,"{'criterion': 'gini', 'max_depth': 15, 'max_leaf_nodes': 60, 'min_samples_split': 7}",0.8033707865168539,0.8202247191011236,0.8651685393258427,0.8314606741573034,0.847457627118644,0.8335364692439537,0.0213816113786428,56,0.9254571026722925,0.9409282700421941,0.9310829817158931,0.9184247538677919,0.9115168539325843,0.9254819924461511,0.010146811340806701
18,0.17201108932495118,0.013550034199013454,0.011602115631103516,0.0013557638185313946,gini,15,80,3,"{'criterion': 'gini', 'max_depth': 15, 'max_leaf_nodes': 80, 'min_samples_split': 3}",0.8314606741573034,0.8202247191011236,0.8876404494382022,0.8426966292134831,0.864406779661017,0.8492858503142259,0.024105691715429003,1,0.9493670886075949,0.960618846694796,0.9423347398030942,0.939521800281294,0.9438202247191011,0.9471325400211759,0.007467092527365648
19,0.17244381904602052,0.012109123016414147,0.015569162368774415,0.004787108307844802,gini,15,80,5,"{'criterion': 'gini', 'max_depth': 15, 'max_leaf_nodes': 80, 'min_samples_split': 5}",0.8202247191011236,0.8033707865168539,0.8764044943820225,0.8258426966292135,0.8587570621468926,0.8369199517552213,0.026694086833597124,34,0.9423347398030942,0.9535864978902954,0.9367088607594937,0.9367088607594937,0.9382022471910112,0.9415082412806776,0.006380675297027439
20,0.19367122650146484,0.018083246279262503,0.012325859069824219,0.002126205657754801,gini,15,80,7,"{'criterion': 'gini', 'max_depth': 15, 'max_leaf_nodes': 80, 'min_samples_split': 7}",0.8202247191011236,0.8146067415730337,0.8764044943820225,0.8202247191011236,0.8531073446327684,0.8369136037580143,0.023985001682375516,37,0.9409282700421941,0.9437412095639943,0.9310829817158931,0.9254571026722925,0.9297752808988764,0.9341969689786502,0.0069575347294775465
